ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
46304100,1129625,0,0
45803600,40162520,2,3
432795,4132546,4,6
4178818,195588,2,2
21502510,1746114,4,4
21503366,975125,0,0
21604148,40173592,4,5
36000000,438614,4,4
36156196,1119510,0,0
36600000,4280726,4,4
37520664,4301346,2,2
44363180,1115171,2,3
45619796,1129625,0,0
44339460,1521369,0,0
45653328,1125315,0,0
45622824,1759842,0,0
45640560,1125315,0,0
45628848,1119510,0,0
45629740,738818,0,0
45645256,1177480,0,0
45670400,19078460,2,3
45673896,975125,0,0
45779196,1192710,0,0
45684240,19008572,2,3
45685480,1127433,2,3
45703208,705944,0,0
45703772,1192710,0,0
46238672,40232448,2,3
45795360,1549786,0,0
46296660,1119510,0,0
45688092,1125315,0,0
46293848,1125315,0,0
45797040,1119510,0,0
46320440,1129625,0,0
45803804,19018936,2,3
4024567,255848,4,6
4108616,4010253,2,2
21502510,1729720,4,4
21503368,975125,0,0
21604792,45892896,4,5
36000000,4139681,4,4
36156200,1119510,0,0
36600000,40480160,4,4
40789544,3006451,2,2
44363160,40232448,2,3
45619956,1112807,0,0
44339460,1549786,0,0
45653096,1125315,0,0
45622832,1332418,0,0
45640620,1125315,0,0
45629044,1119510,0,0
45629748,1759842,0,0
45645124,1177480,0,0
45666600,1115171,2,3
45673904,975125,0,0
45779196,1124957,0,0
45684128,40163552,2,3
45685704,1713671,2,3
45703360,1501700,0,0
45704072,1308738,0,0
46238752,1127433,2,3
45795364,1112807,0,0
46296516,1119510,0,0
45688132,1125315,0,0
46288728,1125315,0,0
45797084,1119510,0,0
46320124,1129625,0,0
45803864,40229136,2,3
4180628,4310024,4,6
4158691,4186930,2,2
21502510,1717327,4,4
21503344,1125315,0,0
21503964,19007332,4,5
36203064,4066995,4,4
36156208,1119510,0,0
36600000,4056621,5,5
40765348,3000963,2,2
44363192,40229136,2,3
45619824,1129625,0,0
44339464,1548195,0,0
45653360,1125315,0,0
45622744,1309944,0,0
45640756,1125315,0,0
45629160,1119510,0,0
45629748,1713332,0,0
45645460,1177480,0,0
45666856,19008572,2,3
45671368,975125,0,0
45779104,1174888,0,0
45684372,1127433,2,3
45685708,19133904,2,3
45703296,1738521,0,0
45703652,1728416,0,0
46238704,40169216,2,3
45795400,933724,0,0
46293572,1119510,0,0
45688140,1125315,0,0
46288616,1125315,0,0
45797028,1119510,0,0
46320460,1129625,0,0
45803672,40229136,2,3
255919,4156265,4,6
4042836,4029498,2,2
21502510,1174888,4,4
21503326,975125,0,0
21604070,42707628,4,5
36203064,40479768,4,4
36156436,1119510,0,0
36600000,81151,5,8
37520652,4301346,2,2
44363592,19133904,2,3
45619872,738818,0,0
44339268,1154029,0,0
45653132,1125315,0,0
45623040,1307863,0,0
45640756,1125315,0,0
45629164,1119510,0,0
45629752,1545958,0,0
45642528,1177480,0,0
45664256,40232448,2,3
45671248,975125,0,0
45779108,1192710,0,0
45680884,19008572,2,3
45685708,19133872,2,3
45703140,1307863,0,0
45703652,1308738,0,0
45897488,19018936,2,3
45795404,1738521,0,0
46293744,1119510,0,0
45688124,1125315,0,0
46288884,1125315,0,0
46318052,1119510,0,0
46320692,1129625,0,0
45803960,19008572,2,3
255919,4132546,4,6
4043161,4218408,2,2
21502510,1778162,4,4
21503376,975125,0,0
21500008,1713671,4,5
36203064,4048695,4,4
36158856,1119510,0,0
36600000,4149245,6,6
37520652,44783196,2,2
44358584,19019272,2,3
45620072,1149196,0,0
44339272,1713332,0,0
45653136,1125315,0,0
45622956,1154343,0,0
45637440,1125315,0,0
45629192,1119510,0,0
45629888,1713332,0,0
45642372,1177480,0,0
45664480,1154615,2,3
45670704,975125,0,0
45778880,1107830,0,0
45683992,1332419,2,3
45684392,40228232,2,3
45703252,1501700,0,0
45704080,1361711,0,0
45897556,40236448,2,3
45795408,1174888,0,0
46293812,1119510,0,0
45688176,1125315,0,0
46288816,1125315,0,0
46318056,1119510,0,0
46320632,1129625,0,0
45894840,42707628,2,3
4022922,4152936,4,6
4043161,4295880,2,2
21502510,1728416,4,4
21503352,1396131,0,0
21500008,46275444,4,5
36203064,40479424,4,4
36158856,1119510,0,0
36600000,40479768,7,7
37522280,4035793,3,3
44358688,40236824,2,3
45619980,1177480,0,0
44339588,1129625,0,0
45653440,1125315,0,0
45622972,1713332,0,0
45637504,1125315,0,0
45629096,1119510,0,0
45629888,1759842,0,0
45642404,1177480,0,0
45664280,1115171,2,3
45781372,975125,0,0
45778948,1149196,0,0
45680560,1127433,2,3
45684580,19059056,2,3
45703224,1309944,0,0
45703716,1124957,0,0
45897640,1127433,2,3
45795396,1149196,0,0
46293528,1119510,0,0
45688208,1125315,0,0
46288632,1125315,0,0
46317552,1119510,0,0
46321388,1129625,0,0
45896868,1107882,2,3
4022922,4149245,4,6
4043022,4202451,2,2
21500582,1174888,4,4
21500206,1361711,0,0
21500010,19074844,4,5
36203064,4001336,4,4
36158936,1119510,0,0
36600000,40479424,7,7
37522280,4197460,3,3
44356476,1115171,2,3
45620028,1177480,0,0
44339376,1539403,0,0
45653112,1125315,0,0
45623072,1115008,0,0
45637536,1125315,0,0
45629104,1119510,0,0
45629836,1713332,0,0
45642552,1177480,0,0
45664308,40229136,2,3
45781184,975125,0,0
45778956,1153428,0,0
45680560,19078460,2,3
45684580,40232448,2,3
45703424,791967,0,0
45703120,1545958,0,0
45897588,40229136,2,3
45795572,1332418,0,0
46288728,1119510,0,0
45688320,1125315,0,0
46291556,1125315,0,0
45793888,1119510,0,0
46320808,1129625,0,0
45650772,19018936,2,3
253549,40480160,4,6
4048365,4133840,2,2
21500582,1124957,4,4
21500544,708298,0,0
21500010,19075000,4,5
36102148,40486432,4,4
36158972,1119510,0,0
36600000,78272,9,9
37622480,317576,3,3
44356268,19008572,2,3
45620336,975125,0,0
44339096,1729720,0,0
45653300,1125315,0,0
45623056,1309944,0,0
45637160,1125315,0,0
45629256,1119510,0,0
45629848,1192710,0,0
45642476,1177480,0,0
45664548,40232448,2,3
45779016,975125,0,0
45778960,1124300,0,0
45783588,19075600,2,3
45684576,1115171,2,3
45703424,1124300,0,0
45703124,1551099,0,0
45897596,1107882,2,3
45795576,1112807,0,0
46288884,1119510,0,0
45688204,1125315,0,0
46291648,1125315,0,0
45794192,1119510,0,0
46314284,1129625,0,0
45675632,40236448,2,3
253549,4237458,4,6
4040396,4238715,2,2
21500582,1102527,4,4
21500544,791967,0,0
21500010,19074840,4,5
36102148,4280726,4,4
36158676,1119510,0,0
36300000,42535580,5,10
37622480,4310024,3,3
44356464,1115171,2,3
45620104,1738521,0,0
44816276,44816276,0,0
45649960,1125315,0,0
45623060,1124300,0,0
45637480,1125315,0,0
45629316,1119510,0,0
45629808,1124300,0,0
45642656,1177480,0,0
45778400,1332419,2,3
45779152,975125,0,0
45779160,1501700,0,0
45693192,40223768,2,3
45681448,1154615,2,3
45703232,1545958,0,0
45703128,1551099,0,0
45897640,19129656,2,3
45795576,933724,0,0
46288852,1119510,0,0
45688204,1125315,0,0
46291656,1125315,0,0
45794024,1119510,0,0
46314896,1129625,0,0
45894852,1551192,2,3
253549,4142905,4,6
4180941,4199276,2,2
21500582,1154029,4,4
21500560,705944,0,0
21500340,40229136,4,5
36203064,381316,4,4
36159084,1119510,0,0
36300000,4037675,6,9
40786256,3049273,3,3
44356472,19059056,2,3
45620076,1322184,0,0
44816280,44816276,0,0
45649984,1125315,0,0
45623064,1308738,0,0
45637484,1125315,0,0
45629272,1119510,0,0
45629776,1115008,0,0
45642796,1177480,0,0
45661668,1115171,2,3
45779184,975125,0,0
45779164,1174888,0,0
45671528,19078460,2,3
45681284,1115171,2,3
45703240,1551099,0,0
45703148,782043,0,0
45897712,40232448,2,3
45795464,1717327,0,0
46288648,1119510,0,0
45688244,1125315,0,0
46289488,1125315,0,0
45794152,1119510,0,0
46314172,1129625,0,0
45675432,19019272,2,3
4028071,198809,6,6
4040400,4163951,2,2
21500582,1110410,4,4
21500552,1192710,0,0
21500328,1107830,5,5
36203064,4329847,4,4
36158776,1119510,0,0
36300000,4243062,6,8
37622412,381316,3,3
44349380,40232448,2,3
45620200,975125,0,0
44805732,44805732,0,0
45649976,1125315,0,0
45622776,967823,0,0
45637320,1125315,0,0
45628280,1119510,0,0
45629932,1308738,0,0
45640256,1177480,0,0
45661776,40174880,2,3
45778792,975125,0,0
45778792,1501700,0,0
45692448,1332419,2,3
45681520,1115171,2,3
45703384,1112807,0,0
45703240,19127890,0,0
45895288,19019272,2,3
45795484,1000560,0,0
46291628,1119510,0,0
45688356,1125315,0,0
46289316,1125315,0,0
45794772,1119510,0,0
46314192,1129625,0,0
45675332,19019272,2,3
436670,4144583,6,6
4047779,261325,5,8
21500582,1112807,4,4
21003516,1000560,0,0
21500328,1192710,5,5
36203064,4094814,4,4
36159112,1119510,0,0
36300000,4151422,6,6
37622412,321042,3,3
44349356,40231924,2,3
45619964,1309944,0,0
45619688,791967,0,0
45649620,1125315,0,0
45622780,1124957,0,0
45637328,1125315,0,0
45626200,1119510,0,0
45629852,1367571,0,0
45640168,1177480,0,0
45661808,1332419,2,3
45708016,975125,0,0
45779248,738818,0,0
45692704,1107882,2,3
45681316,19008572,2,3
45703520,701322,0,0
45703240,1589505,0,0
45895456,40232448,2,3
45795592,914335,0,0
46291648,1119510,0,0
45688304,1125315,0,0
46288984,1125315,0,0
45794800,1119510,0,0
46314836,1129625,0,0
45650772,1551192,2,3
4162282,4048171,6,6
4047779,4001336,5,8
21500120,40221416,4,4
21004248,738818,0,0
